V,H,NumHDonors,NumHeteroatoms,ExactMolWt,K,S,NumSaturatedCarbocycles,M,NumSaturatedRings
85,24,3,11,487.1557217520008,46,92,0,20,1
91,16,2,8,493.25900861200097,66,97,0,36,1
70,31,1,7,393.16885621600056,66,84,0,25,0
70,31,1,7,393.16885621600056,66,84,0,25,0
13,8,3,13,588.1842910840007,22,26,0,10,3
73,26,4,15,853.3309553120015,44,92,2,25,3
55,18,2,8,493.25900861200097,35,67,0,31,1
52,13,0,2,371.2249145480008,23,34,0,13,0
62,24,2,8,493.25900861200097,82,120,0,18,1
96,24,3,13,588.1842910840007,179,105,0,39,3
30,15,1,2,349.24056461200087,37,32,2,12,2
28,12,4,15,853.3309553120015,33,30,2,13,3
31,11,4,15,853.3309553120015,16,32,2,19,3
70,31,1,7,393.16885621600056,66,84,0,25,0
30,9,3,11,487.1557217520008,31,37,0,11,1
78,22,2,8,493.25900861200097,66,79,0,24,1
87,23,1,7,393.16885621600056,69,97,0,39,0
30,15,1,2,349.24056461200087,37,32,2,12,2
62,24,4,15,853.3309553120015,82,120,2,18,3
75,28,3,11,487.1557217520008,41,80,0,18,1
30,15,1,2,349.24056461200087,37,32,2,12,2
70,31,1,7,393.16885621600056,66,84,0,25,0
33,21,0,2,371.2249145480008,30,59,0,20,0
109,26,3,13,810.4203794360016,92,133,1,38,3
37,4,0,2,371.2249145480008,11,36,0,8,0
33,21,0,2,371.2249145480008,30,59,0,20,0
96,19,3,13,810.4203794360016,85,88,1,32,3
38,8,0,2,371.2249145480008,38,41,0,11,0
25,11,4,15,853.3309553120015,8,29,2,19,3
25,22,0,2,371.2249145480008,29,45,0,27,0
25,5,0,2,371.2249145480008,6,37,0,10,0
91,16,3,13,810.4203794360016,66,97,1,36,3
30,15,1,2,349.24056461200087,37,32,2,12,2
64,15,1,10,586.279134936001,16,49,0,14,2
109,26,5,15,807.3466053760015,92,133,2,38,3
37,4,0,2,371.2249145480008,13,33,0,13,0
56,11,1,10,586.279134936001,14,35,0,12,2
13,8,3,13,588.1842910840007,22,26,0,10,3
110,26,1,7,393.16885621600056,84,113,0,26,0
30,9,4,15,853.3309553120015,31,37,2,11,3
31,8,3,11,487.1557217520008,37,35,0,14,1
33,13,3,11,487.1557217520008,26,40,0,10,1
91,16,4,15,853.3309553120015,66,97,2,36,3
99,28,4,15,853.3309553120015,75,93,2,29,3
109,26,3,13,588.1842910840007,92,133,0,38,3
91,16,4,15,853.3309553120015,66,97,2,36,3
70,31,1,9,446.15209652800064,66,84,0,25,1
35,3,4,15,853.3309553120015,12,27,2,12,3
96,19,0,2,371.2249145480008,85,88,0,32,0
25,22,0,2,371.2249145480008,29,45,0,27,0
125,31,0,5,293.1640456080005,58,116,0,36,0
58,12,0,2,371.2249145480008,21,48,0,13,0
25,22,0,2,371.2249145480008,29,45,0,27,0
25,22,0,2,371.2249145480008,29,45,0,27,0
96,24,3,13,588.1842910840007,179,105,0,39,3
58,27,1,7,393.16885621600056,63,81,0,34,0
62,24,3,11,487.1557217520008,82,120,0,18,1
125,31,1,9,446.15209652800064,58,116,0,36,1
27,14,3,13,588.1842910840007,40,27,0,16,3
32,8,0,2,371.2249145480008,21,25,0,9,0
25,22,0,2,371.2249145480008,29,45,0,27,0
62,24,2,8,493.25900861200097,82,120,0,18,1
110,26,1,7,393.16885621600056,84,113,0,26,0
62,24,2,8,493.25900861200097,82,120,0,18,1
30,15,1,2,349.24056461200087,37,32,2,12,2
62,24,1,9,446.15209652800064,82,120,0,18,1
33,21,4,9,563.2519171440009,30,59,0,20,0
109,26,4,15,853.3309553120015,92,133,2,38,3
46,8,0,2,371.2249145480008,21,32,0,15,0
99,28,0,2,371.2249145480008,75,93,0,29,0
91,16,4,15,853.3309553120015,66,97,2,36,3
70,31,1,9,446.15209652800064,66,84,0,25,1
34,16,1,2,349.24056461200087,15,30,2,16,2
91,16,0,2,371.2249145480008,66,97,0,36,0
25,9,4,15,853.3309553120015,14,23,2,6,3
89,25,1,7,393.16885621600056,69,93,0,26,0
37,2,0,2,371.2249145480008,4,23,0,6,0
25,22,0,2,371.2249145480008,29,45,0,27,0
62,24,2,8,493.25900861200097,82,120,0,18,1
96,19,3,13,588.1842910840007,85,88,0,32,3
33,21,0,2,371.2249145480008,30,59,0,20,0
96,19,0,2,371.2249145480008,85,88,0,32,0
25,22,0,2,371.2249145480008,29,45,0,27,0
99,28,4,15,853.3309553120015,75,93,2,29,3
29,19,1,7,393.16885621600056,15,22,0,8,0
32,13,1,2,349.24056461200087,33,27,2,26,2
96,24,3,13,588.1842910840007,179,105,0,39,3
70,31,1,7,393.16885621600056,66,84,0,25,0
96,24,3,13,588.1842910840007,179,105,0,39,3
70,31,1,7,393.16885621600056,66,84,0,25,0
96,19,4,15,853.3309553120015,85,88,2,32,3
12,8,3,11,487.1557217520008,30,21,0,13,1
96,24,3,13,588.1842910840007,179,105,0,39,3
70,31,1,9,446.15209652800064,66,84,0,25,1
91,16,4,15,853.3309553120015,66,97,2,36,3
31,11,4,15,853.3309553120015,16,32,2,19,3
96,19,3,13,810.4203794360016,85,88,1,32,3
25,22,0,2,371.2249145480008,29,45,0,27,0
39,12,3,13,810.4203794360016,40,73,1,19,3
33,21,0,2,371.2249145480008,30,59,0,20,0
62,24,2,8,493.25900861200097,82,120,0,18,1
70,31,1,9,446.15209652800064,66,84,0,25,1
62,24,3,11,487.1557217520008,82,120,0,18,1
28,12,0,2,371.2249145480008,33,30,0,13,0
70,31,1,9,446.15209652800064,66,84,0,25,1
83,35,0,2,371.2249145480008,39,73,0,23,0
96,19,4,15,853.3309553120015,85,88,2,32,3
70,31,1,9,446.15209652800064,66,84,0,25,1
62,24,3,11,487.1557217520008,82,120,0,18,1
25,22,0,2,371.2249145480008,29,45,0,27,0
70,31,1,9,446.15209652800064,66,84,0,25,1
70,31,1,9,446.15209652800064,66,84,0,25,1
26,3,4,15,853.3309553120015,19,44,2,16,3
55,18,3,11,487.1557217520008,35,67,0,31,1
125,31,4,15,853.3309553120015,58,116,2,36,3
30,9,4,15,853.3309553120015,31,37,2,11,3
91,16,3,13,588.1842910840007,66,97,0,36,3
25,22,0,2,371.2249145480008,29,45,0,27,0
26,3,4,15,853.3309553120015,19,44,2,16,3
13,8,3,13,588.1842910840007,22,26,0,10,3
39,8,1,2,349.24056461200087,38,31,2,19,2
30,15,1,2,349.24056461200087,37,32,2,12,2
30,15,1,2,349.24056461200087,37,32,2,12,2
39,8,1,2,349.24056461200087,38,31,2,19,2
96,19,3,13,810.4203794360016,85,88,1,32,3
78,22,2,8,493.25900861200097,66,79,0,24,1
31,11,4,15,853.3309553120015,16,32,2,19,3
42,5,1,10,586.279134936001,25,33,0,13,2
83,35,3,11,487.1557217520008,39,73,0,23,1
56,33,1,7,393.16885621600056,79,72,0,30,0
62,24,2,8,493.25900861200097,82,120,0,18,1
89,25,2,8,493.25900861200097,69,93,0,26,1
40,15,3,11,487.1557217520008,53,54,0,20,1
30,15,1,2,349.24056461200087,37,32,2,12,2
70,31,1,9,446.15209652800064,66,84,0,25,1
70,31,1,9,446.15209652800064,66,84,0,25,1
25,22,0,2,371.2249145480008,29,45,0,27,0
70,31,1,7,393.16885621600056,66,84,0,25,0
70,31,1,9,446.15209652800064,66,84,0,25,1
25,22,0,2,371.2249145480008,29,45,0,27,0
25,11,0,2,371.2249145480008,8,29,0,19,0
75,28,2,8,493.25900861200097,41,80,0,18,1
70,31,1,7,393.16885621600056,66,84,0,25,0
109,26,1,7,393.16885621600056,92,133,0,38,0
83,35,1,9,446.15209652800064,39,73,0,23,1
125,31,1,2,349.24056461200087,58,116,2,36,2
30,15,1,2,349.24056461200087,37,32,2,12,2
34,16,1,2,349.24056461200087,15,30,2,16,2
39,8,2,12,778.3941646880014,38,31,1,19,2
62,24,4,15,853.3309553120015,82,120,2,18,3
32,13,0,5,293.1640456080005,33,27,0,26,0
91,16,4,15,853.3309553120015,66,97,2,36,3
25,22,0,2,371.2249145480008,29,45,0,27,0
96,19,3,13,810.4203794360016,85,88,1,32,3
25,12,0,2,371.2249145480008,23,30,0,11,0
46,4,1,10,586.279134936001,13,31,0,9,2
32,13,0,5,293.1640456080005,33,27,0,26,0
18,7,0,2,371.2249145480008,1,12,0,4,0
99,28,5,15,807.3466053760015,75,93,2,29,3
46,16,3,11,487.1557217520008,42,45,0,12,1
30,15,1,2,349.24056461200087,37,32,2,12,2
59,29,1,12,640.2663773320011,55,179,0,71,2
39,13,4,15,853.3309553120015,44,71,2,19,3
70,31,1,9,446.15209652800064,66,84,0,25,1
96,24,3,13,588.1842910840007,179,105,0,39,3
96,19,4,15,853.3309553120015,85,88,2,32,3
25,22,0,2,371.2249145480008,29,45,0,27,0
70,31,1,7,393.16885621600056,66,84,0,25,0
91,16,4,15,853.3309553120015,66,97,2,36,3
39,7,1,10,586.279134936001,17,35,0,19,2
110,26,1,9,446.15209652800064,84,113,0,26,1
25,12,3,11,487.1557217520008,23,30,0,11,1
70,31,1,7,393.16885621600056,66,84,0,25,0
40,16,0,2,371.2249145480008,12,23,0,10,0
96,19,3,13,810.4203794360016,85,88,1,32,3
41,3,1,10,586.279134936001,8,39,0,5,2
99,28,0,5,293.1640456080005,75,93,0,29,0
25,22,0,2,371.2249145480008,29,45,0,27,0
39,8,5,18,861.3782994280018,38,31,2,19,3
91,16,4,15,853.3309553120015,66,97,2,36,3
39,8,3,13,588.1842910840007,38,31,0,19,3
109,26,0,2,371.2249145480008,92,133,0,38,0
53,37,5,15,807.3466053760015,37,68,2,16,3
70,31,1,9,446.15209652800064,66,84,0,25,1
96,24,3,13,588.1842910840007,179,105,0,39,3
30,9,3,11,487.1557217520008,31,37,0,11,1
91,16,4,15,853.3309553120015,66,97,2,36,3
33,21,0,2,371.2249145480008,30,59,0,20,0
39,12,4,15,853.3309553120015,40,73,2,19,3
25,22,0,2,371.2249145480008,29,45,0,27,0
33,21,0,2,371.2249145480008,30,59,0,20,0
83,35,1,7,393.16885621600056,39,73,0,23,0
96,19,3,13,810.4203794360016,85,88,1,32,3
109,26,3,11,487.1557217520008,92,133,0,38,1
250,90,3,11,487.1557217520008,276,327,0,118,1
70,31,1,9,446.15209652800064,66,84,0,25,1
70,31,1,7,393.16885621600056,66,84,0,25,0
73,26,4,15,853.3309553120015,44,92,2,25,3
25,22,0,2,371.2249145480008,29,45,0,27,0
25,22,0,2,371.2249145480008,29,45,0,27,0
109,26,0,5,293.1640456080005,92,133,0,38,0
87,23,3,11,487.1557217520008,69,97,0,39,1
40,20,1,9,446.15209652800064,41,78,0,18,1
96,24,3,13,588.1842910840007,179,105,0,39,3
39,12,4,15,853.3309553120015,40,73,2,19,3
21,12,3,11,487.1557217520008,11,45,0,9,1
96,19,4,15,853.3309553120015,85,88,2,32,3
25,11,4,15,853.3309553120015,8,29,2,19,3
25,12,3,11,487.1557217520008,23,30,0,11,1
37,12,0,2,371.2249145480008,23,32,0,16,0
30,12,0,2,371.2249145480008,35,32,0,14,0
60,19,2,8,493.25900861200097,22,56,0,24,1
39,8,1,2,349.24056461200087,38,31,2,19,2
70,31,1,7,393.16885621600056,66,84,0,25,0
91,16,0,2,371.2249145480008,66,97,0,36,0
70,31,1,9,446.15209652800064,66,84,0,25,1
35,3,4,15,853.3309553120015,12,27,2,12,3
33,21,0,2,371.2249145480008,30,59,0,20,0
25,22,0,2,371.2249145480008,29,45,0,27,0
29,17,1,2,349.24056461200087,20,26,2,13,2
30,15,1,2,349.24056461200087,37,32,2,12,2
29,16,1,10,586.279134936001,30,21,0,10,2
91,16,0,2,371.2249145480008,66,97,0,36,0
12,8,1,9,446.15209652800064,30,21,0,13,1
96,19,3,13,588.1842910840007,85,88,0,32,3
91,16,1,2,349.24056461200087,66,97,2,36,2
91,16,1,7,393.16885621600056,66,97,0,36,0
26,13,0,2,371.2249145480008,34,43,0,18,0
35,3,0,2,371.2249145480008,12,27,0,12,0
96,19,4,15,853.3309553120015,85,88,2,32,3
33,21,0,2,371.2249145480008,30,59,0,20,0
83,35,1,7,393.16885621600056,39,73,0,23,0
109,26,4,15,853.3309553120015,92,133,2,38,3
70,31,1,9,446.15209652800064,66,84,0,25,1
110,26,1,7,393.16885621600056,84,113,0,26,0
99,28,1,9,446.15209652800064,75,93,0,29,1
33,6,0,2,371.2249145480008,27,53,0,15,0
13,8,3,13,588.1842910840007,22,26,0,10,3
78,34,1,9,446.15209652800064,76,97,0,28,1
34,9,0,2,371.2249145480008,38,61,0,13,0
41,8,0,2,371.2249145480008,13,32,0,8,0
30,15,1,2,349.24056461200087,37,32,2,12,2
33,21,0,2,371.2249145480008,30,59,0,20,0
60,15,1,7,393.16885621600056,51,53,0,15,0
70,31,1,9,446.15209652800064,66,84,0,25,1
32,19,1,2,349.24056461200087,17,27,2,15,2
34,16,1,2,349.24056461200087,15,30,2,16,2
96,19,3,13,588.1842910840007,85,88,0,32,3
29,12,4,15,853.3309553120015,11,23,2,14,3
70,31,1,9,446.15209652800064,66,84,0,25,1
32,13,0,5,293.1640456080005,33,27,0,26,0
78,22,2,8,493.25900861200097,66,79,0,24,1
83,35,4,15,853.3309553120015,39,73,2,23,3
59,29,3,13,588.1842910840007,55,179,0,71,3
32,5,0,2,371.2249145480008,15,18,0,9,0
30,6,0,2,371.2249145480008,14,25,0,14,0
34,16,1,2,349.24056461200087,15,30,2,16,2
63,22,4,15,853.3309553120015,49,74,2,25,3
91,16,2,8,493.25900861200097,66,97,0,36,1
34,6,0,2,371.2249145480008,28,39,0,17,0
70,31,1,7,393.16885621600056,66,84,0,25,0
72,38,3,11,487.1557217520008,80,67,0,24,1
70,31,1,9,446.15209652800064,66,84,0,25,1
26,2,0,2,371.2249145480008,24,35,0,12,0
110,26,1,9,446.15209652800064,84,113,0,26,1
39,8,1,2,349.24056461200087,38,31,2,19,2
32,19,1,2,349.24056461200087,17,27,2,15,2
78,22,2,8,493.25900861200097,66,79,0,24,1
25,22,0,2,371.2249145480008,29,45,0,27,0
70,31,1,9,446.15209652800064,66,84,0,25,1
62,24,2,8,493.25900861200097,82,120,0,18,1
54,15,1,10,586.279134936001,10,36,0,9,2
70,31,1,7,393.16885621600056,66,84,0,25,0
59,9,0,2,371.2249145480008,16,49,0,8,0
25,22,0,2,371.2249145480008,29,45,0,27,0
36,14,0,2,371.2249145480008,23,33,0,15,0
99,28,3,13,588.1842910840007,75,93,0,29,3
75,28,3,11,487.1557217520008,41,80,0,18,1
103,26,3,13,588.1842910840007,187,115,0,34,3
30,15,1,2,349.24056461200087,37,32,2,12,2
125,31,0,2,371.2249145480008,58,116,0,36,0
70,31,1,7,393.16885621600056,66,84,0,25,0
70,31,1,7,393.16885621600056,66,84,0,25,0
89,25,2,8,493.25900861200097,69,93,0,26,1
62,24,2,8,493.25900861200097,82,120,0,18,1
70,31,1,9,446.15209652800064,66,84,0,25,1
33,13,0,2,371.2249145480008,26,40,0,10,0
25,22,4,9,563.2519171440009,29,45,0,27,0
13,8,3,13,588.1842910840007,22,26,0,10,3
70,31,1,7,393.16885621600056,66,84,0,25,0
30,15,1,2,349.24056461200087,37,32,2,12,2
96,19,3,13,810.4203794360016,85,88,1,32,3
25,22,0,2,371.2249145480008,29,45,0,27,0
31,11,4,15,853.3309553120015,16,32,2,19,3
96,19,4,15,853.3309553120015,85,88,2,32,3
32,13,0,5,293.1640456080005,33,27,0,26,0
43,6,0,2,371.2249145480008,31,38,0,13,0
32,18,0,2,371.2249145480008,25,33,0,18,0
125,31,3,13,588.1842910840007,58,116,0,36,3
78,32,1,7,393.16885621600056,66,80,0,29,0
78,22,3,11,487.1557217520008,66,79,0,24,1
13,8,3,13,588.1842910840007,22,26,0,10,3
36,12,0,2,371.2249145480008,33,28,0,12,0
96,19,4,15,853.3309553120015,85,88,2,32,3
125,31,3,11,487.1557217520008,58,116,0,36,1
96,24,3,13,588.1842910840007,179,105,0,39,3
25,22,0,2,371.2249145480008,29,45,0,27,0
27,6,0,2,371.2249145480008,14,32,0,2,0
70,31,1,9,446.15209652800064,66,84,0,25,1
30,15,1,2,349.24056461200087,37,32,2,12,2
27,14,1,7,393.16885621600056,40,27,0,16,0
45,20,0,5,293.1640456080005,29,33,0,21,0
70,31,1,7,393.16885621600056,66,84,0,25,0
70,31,1,7,393.16885621600056,66,84,0,25,0
30,9,2,8,493.25900861200097,31,37,0,11,1
103,26,3,13,588.1842910840007,187,115,0,34,3
13,8,3,13,588.1842910840007,22,26,0,10,3
70,31,1,9,446.15209652800064,66,84,0,25,1
32,13,0,5,293.1640456080005,33,27,0,26,0
89,25,3,12,589.247123600001,69,93,0,26,1
70,31,1,7,393.16885621600056,66,84,0,25,0
30,15,1,2,349.24056461200087,37,32,2,12,2
67,21,3,13,588.1842910840007,55,172,0,50,3
33,21,0,2,371.2249145480008,30,59,0,20,0
25,22,0,2,371.2249145480008,29,45,0,27,0
96,19,3,13,810.4203794360016,85,88,1,32,3
25,22,0,2,371.2249145480008,29,45,0,27,0
83,35,1,7,393.16885621600056,39,73,0,23,0
30,18,3,11,487.1557217520008,34,35,0,15,1
96,24,3,13,588.1842910840007,179,105,0,39,3
39,8,1,2,349.24056461200087,38,31,2,19,2
70,31,1,9,446.15209652800064,66,84,0,25,1
28,7,3,11,487.1557217520008,46,29,0,13,1
96,19,4,15,853.3309553120015,85,88,2,32,3
63,22,4,15,853.3309553120015,49,74,2,25,3
91,16,5,15,807.3466053760015,66,97,2,36,3
29,12,2,12,778.3941646880014,11,23,1,14,2
